movie,rt_critic,rt_audience
Forces spéciales,15,52
You Kill Me,78,59
Internal Affairs,88,59
Down in the Valley,52,53
Raya and the Last Dragon,94,85
My Cousin Rachel,76,45
Bratz,10,46
Cheap Thrills,88,69
Life Itself,13,83
Swing Vote,38,42
Just Before I Go,10,59
Flirting with Disaster,87,69
Devil in a Blue Dress,88,70
Wheelman,88,66
Dr. T & the Women,57,20
Love Wedding Repeat,34,36
The Big Bounce,16,24
One Night in Miami,98,82
Rudderless,64,83
The Magic of Belle Isle,29,62
Mystery Science Theater 3000: The Movie,80,88
Once Upon a Time in Venice,21,28
Zombie Strippers!,38,30
Saving Grace,63,83
Comet,42,52
Lady and the Tramp,66,50
Unicorn Store,64,41
Miss You Already,71,68
The Prince,0,23
"Where'd You Go, Bernadette",49,74
Blackmail,,
Willard,64,51
Naked,0,31
Experimenter,85,61
Human Nature,49,61
Tomcats,14,42
Son in Law,21,58
Beowulf & Grendel,49,40
The Corruptor,48,43
Mayhem,84,65
Made,71,67
Ramona and Beezus,70,71
Antebellum,28,53
The Congress,73,53
The Beverly Hillbillies,22,32
Country Strong,22,53
Little Black Book,22,37
Restless,38,48
Everly,29,29
We Are Still Here,95,47
The Devil's Candy,92,64
Death Warrant,0,35
Bilal: A New Breed of Hero,59,85
The Tigger Movie,62,62
Life of Crime,68,37
Host,100,73
Snowtown,84,66
Poison Ivy,34,36
Iris,79,73
War on Everyone,61,37
Blood and Chocolate,11,52
Lost River,32,38
The Party,82,61
The Young and Prodigious T.S. Spivet,76,70
The Adventures of Ford Fairlane,28,68
Jungle Fever,81,67
Lost Girls,73,52
The Other Side of the Door,37,29
The Goldfinch,24,72
East Is East,78,78
The Getaway,32,28
Trolls World Tour,70,58
The Sacrament,63,47
Defending Your Life,97,83
Grabbers,70,51
Supernova,10,17
What's Love Got to Do with It,96,88
Management,47,30
Alvin and the Chipmunks: The Road Chip,15,51
Where the Truth Lies,41,46
Noelle,54,57
Sorry We Missed You,88,81
Black and Blue,52,93
Storytelling,53,67
Latter Days,,
Southbound,81,50
Relic,92,49
Como agua para chocolate,87,84
Anywhere But Here,64,55
The Sin Eater,8,38
Taeksi woonjunsa,96,90
Zombeavers,70,31
Phoenix,98,78
Adult World,56,38
Chakushin ari,,
Roger Dodger,88,76
En duva satt på en gren och funderade på tillvaron,89,65
A Private War,88,63
Trade,34,74
Revenge,33,53
Fast Track,,47
Monkeybone,19,27
Don't Think Twice,98,69
Out Cold,8,84
Body Snatchers,70,39
Serving Sara,4,26
Snabba cash,86,63
Planes 2: Redden & Blussen,44,56
Surveillance,55,43
Casino Jack,82,80
Living in Oblivion,88,87
Fire Down Below,11,36
Pelé: Birth of a Legend,33,69
Renaissance Man,12,53
Suchîmubôi,,
Teen Titans Go! To the Movies,91,72
Metallica Through the Never,79,73
Haunter,56,42
Art School Confidential,36,48
The Edge of Love,37,43
The Crush,25,41
A Guy Thing,24,35
Being Flynn,52,41
The Bachelor,9,28
My Friend Dahmer,86,61
Wendy and Lucy,85,67
Smiley Face,67,44
Taxidermia,81,76
Maudie,89,88
The Emperor's Club,50,67
Hamlet 2,62,56
The Jungle Book,80,55
Flash of Genius,61,55
The Son of No One,15,22
Fatman,45,84
I Think I Love My Wife,19,41
Timbuktu,98,77
The Program,62,43
Smashed,83,68
Vox Lux,61,37
Brittany Runs a Marathon,88,87
The Prince of Tides,70,70
American Heist,13,18
The Bag Man,11,22
Comme un chef,47,57
Private Life,93,78
The Man Who Killed Don Quixote,64,63
Beauty Shop,38,62
Extraordinary Measures,28,53
Ricochet,72,52
The Escapist,64,63
Infamous,74,69
What a Wedding,,
The Ten,18,54
In a Valley of Violence,77,51
These Final Hours,84,64
Wounds,48,
Il divo,92,80
Urban Legends: Final Cut,9,20
Borgman,87,69
Elle s'appelait Sarah,72,82
The Kitchen,24,69
The Haunting in Georgia,19,44
Looking for Eric,85,78
An American Pickle,72,46
Margaret,74,48
The Assistant,92,25
Brad's Status,79,54
Wing Commander,10,25
Swallow,87,72
Facing the Giants,16,85
Racing Stripes,35,42
The Dark Half,58,38
Mother's Day,42,52
Much Ado About Nothing,86,77
The Monster,80,40
Pay the Ghost,10,25
The Grand Seduction,60,66
360,20,32
Extinction,18,33
Devil's Due,18,21
Maggie's Plan,86,52
The Hoax,86,58
Boys and Girls,11,50
The Overnight,82,54
The Good Neighbor,33,46
Feast of Love,39,55
Guarding Tess,57,48
The Informers,,
Deathgasm,88,66
Laurel Canyon,68,52
Capone,39,24
Fame,24,36
Assassination Nation,74,55
The Survivalist,96,66
The Hole in the Ground,83,48
Pet,56,32
Kapringen,,
Kissing Jessica Stein,83,65
Venuto al mondo,17,68
First They Killed My Father,87,80
