movie,rt_critic,rt_audience,year,runtime,genre,imdb,meta,imdb_votes
Role Models,77.0,74.0,2008,99 min,Comedy,6.8,61,220820
Focus,56.0,53.0,2015,105 min,"Comedy, Crime, Drama",6.6,56,220600
Focus,56.0,53.0,2001,106 min,"Drama, Romance",6.7,53,2911
Focus,,83.0,2015,105 min,"Comedy, Crime, Drama",6.6,56,220600
Focus,,83.0,2001,106 min,"Drama, Romance",6.7,53,2911
Warm Bodies,81.0,73.0,2013,98 min,"Comedy, Horror, Romance",6.8,60,219873
Stranger Than Fiction,73.0,85.0,2006,113 min,"Comedy, Drama, Fantasy",7.5,67,219833
National Treasure: Book of Secrets,36.0,67.0,2007,124 min,"Action, Adventure, Mystery",6.5,48,219695
Insurgent,28.0,58.0,2015,119 min,"Action, Adventure, Sci-Fi",6.2,42,219158
Southpaw,60.0,75.0,2015,124 min,"Action, Drama, Sport",7.4,57,219157
Rambo,37.0,69.0,2008,92 min,"Action, Thriller",7.0,46,218865
Natural Born Killers,48.0,81.0,1994,118 min,"Action, Crime, Drama",7.3,74,217967
Mr. Nobody,68.0,76.0,2009,141 min,"Drama, Fantasy, Romance",7.8,63,217719
Mamma Mia!,55.0,66.0,2008,108 min,"Comedy, Musical, Romance",6.4,51,217672
Transcendence,19.0,37.0,2014,119 min,"Action, Drama, Sci-Fi",6.3,42,217660
Austin Powers: The Spy Who Shagged Me,52.0,71.0,1999,95 min,"Action, Adventure, Comedy",6.6,59,217527
The Adventures of Tintin,74.0,74.0,2011,107 min,"Animation, Action, Adventure",7.3,68,217491
Chicago,86.0,83.0,2002,113 min,"Comedy, Crime, Musical",7.2,81,216960
RoboCop,48.0,49.0,2014,117 min,"Action, Crime, Sci-Fi",6.1,52,216913
Call Me by Your Name,94.0,86.0,2017,132 min,"Drama, Romance",7.9,93,216876
Dr. Seuss' How the Grinch Stole Christmas,49.0,56.0,2000,104 min,"Comedy, Family, Fantasy",6.2,46,216739
What's Eating Gilbert Grape?,90.0,89.0,1993,118 min,Drama,7.8,73,216575
Meet Joe Black,45.0,81.0,1998,178 min,"Drama, Fantasy, Romance",7.2,43,216484
Old School,60.0,86.0,2003,88 min,Comedy,7.1,54,216316
The Lincoln Lawyer,83.0,82.0,2011,118 min,"Crime, Drama, Mystery",7.3,63,216219
The Ides of March,83.0,73.0,2011,101 min,"Drama, Thriller",7.1,67,216156
Lion,84.0,91.0,2016,118 min,"Biography, Drama",8.0,69,215911
Kiss Kiss Bang Bang,86.0,87.0,2005,103 min,"Comedy, Crime, Mystery",7.5,72,215718
Murder on the Orient Express,60.0,53.0,2017,114 min,"Crime, Drama, Mystery",6.5,52,215408
The Chronicles of Riddick,,80.0,2004,119 min,"Action, Adventure, Sci-Fi",6.7,38,215144
Shakespeare in Love,92.0,80.0,1998,123 min,"Comedy, Drama, History",7.1,87,214901
No Strings Attached,49.0,51.0,2011,108 min,"Comedy, Romance",6.2,50,214825
Body of Lies,55.0,62.0,2008,128 min,"Action, Drama, Thriller",7.1,57,214700
Silent Hill,31.0,63.0,2006,125 min,"Action, Adventure, Fantasy",6.5,31,214482
San Andreas,49.0,52.0,2015,114 min,"Action, Adventure, Thriller",6.1,43,214285
Cube,63.0,76.0,1997,90 min,"Drama, Mystery, Sci-Fi",7.2,61,213780
Thank You for Smoking,86.0,87.0,2005,92 min,"Comedy, Drama",7.6,71,213464
Minions,55.0,49.0,2015,91 min,"Animation, Adventure, Comedy",6.4,56,213458
Munich,78.0,83.0,2005,164 min,"Action, Drama, History",7.5,74,213314
How to Lose a Guy in 10 Days,42.0,77.0,2003,116 min,"Comedy, Romance",6.4,45,213153
Predators,65.0,52.0,2010,107 min,"Action, Adventure, Sci-Fi",6.4,51,212527
Romeo + Juliet,72.0,77.0,1996,120 min,"Drama, Romance",6.7,60,212078
Clerks,89.0,89.0,1994,92 min,Comedy,7.7,70,212039
It Follows,95.0,66.0,2014,100 min,"Horror, Mystery, Thriller",6.8,83,211995
Me Before You,54.0,73.0,2016,106 min,"Drama, Romance",7.4,51,211393
Mars Attacks!,54.0,53.0,1996,106 min,"Comedy, Sci-Fi",6.3,52,211144
Planet of the Apes,44.0,27.0,2001,119 min,"Action, Adventure, Sci-Fi",5.7,50,210920
Glass,37.0,67.0,2019,129 min,"Drama, Sci-Fi, Thriller",6.7,43,210699
It Chapter Two,62.0,78.0,2019,169 min,"Drama, Fantasy, Horror",6.5,58,210402
Jason Bourne,54.0,55.0,2016,123 min,"Action, Thriller",6.6,58,209710
Män som hatar kvinnor,85.0,87.0,2009,152 min,"Crime, Drama, Mystery",7.8,76,209580
Game Night,85.0,77.0,2018,100 min,"Action, Comedy, Crime",6.9,66,209252
Wind River,88.0,90.0,2017,107 min,"Crime, Drama, Mystery",7.7,73,209236
Life,67.0,54.0,2017,104 min,"Horror, Sci-Fi, Thriller",6.6,54,208641
Life,67.0,54.0,1999,108 min,"Comedy, Crime, Drama",6.8,63,46237
Life,67.0,54.0,2015,111 min,"Biography, Drama",6.1,59,7630
Life,50.0,77.0,2017,104 min,"Horror, Sci-Fi, Thriller",6.6,54,208641
Life,50.0,77.0,1999,108 min,"Comedy, Crime, Drama",6.8,63,46237
Life,50.0,77.0,2015,111 min,"Biography, Drama",6.1,59,7630
Life,64.0,44.0,2017,104 min,"Horror, Sci-Fi, Thriller",6.6,54,208641
Life,64.0,44.0,1999,108 min,"Comedy, Crime, Drama",6.8,63,46237
Life,64.0,44.0,2015,111 min,"Biography, Drama",6.1,59,7630
Cowboys & Aliens,44.0,43.0,2011,119 min,"Action, Sci-Fi, Thriller",6.0,50,208452
Dogma,67.0,85.0,1999,130 min,"Adventure, Comedy, Drama",7.3,62,208219
True Romance,93.0,93.0,1993,119 min,"Crime, Drama, Romance",7.9,59,208154
Hercules,58.0,48.0,1997,93 min,"Animation, Adventure, Comedy",7.3,74,207813
Hercules,58.0,48.0,2014,98 min,"Action, Adventure, Fantasy",6.0,47,146689
Rio,72.0,71.0,2011,96 min,"Animation, Adventure, Comedy",6.9,63,207618
Safe House,53.0,63.0,2012,115 min,"Action, Thriller",6.7,52,207332
White House Down,51.0,62.0,2013,131 min,"Action, Drama, Thriller",6.4,52,207265
Daredevil,44.0,35.0,2003,103 min,"Action, Crime",5.3,42,207169
Match Point,77.0,81.0,2005,124 min,"Drama, Romance, Thriller",7.6,72,207130
Madagascar 2,64.0,66.0,2008,89 min,"Animation, Adventure, Comedy",6.6,61,207060
Garden State,86.0,88.0,2004,102 min,"Comedy, Drama, Romance",7.4,67,207041
Gangster Squad,31.0,57.0,2013,113 min,"Action, Crime, Drama",6.7,40,207018
The VVitch: A New-England Folktale,90.0,59.0,2015,92 min,"Drama, Horror, Mystery",6.9,83,206960
Cloudy with a Chance of Meatballs,86.0,72.0,2009,90 min,"Animation, Adventure, Comedy",6.9,66,206829
Midsommar,83.0,63.0,2019,148 min,"Drama, Horror, Mystery",7.1,72,206738
Toy Story 4,97.0,94.0,2019,100 min,"Animation, Adventure, Comedy",7.8,84,206672
Fast & Furious 8,67.0,72.0,2017,136 min,"Action, Adventure, Crime",6.7,56,206345
Die Another Day,56.0,41.0,2002,133 min,"Action, Adventure, Thriller",6.1,56,206015
The Ugly Truth,14.0,60.0,2009,96 min,"Comedy, Romance",6.4,28,205749
Hell or High Water,97.0,88.0,2016,102 min,"Action, Crime, Drama",7.6,88,205712
Ghostbusters,74.0,50.0,2016,117 min,"Action, Comedy, Fantasy",6.4,60,205342
Tarzan,89.0,75.0,1999,88 min,"Animation, Adventure, Family",7.3,79,205310
Rocky Balboa,77.0,76.0,2006,102 min,"Action, Drama, Sport",7.1,63,205119
Get Smart,51.0,67.0,2008,110 min,"Action, Adventure, Comedy",6.5,54,204894
Closer,68.0,81.0,2004,104 min,"Drama, Romance",7.2,65,204242
Master and Commander: The Far Side of the World,85.0,80.0,2003,138 min,"Action, Adventure, Drama",7.4,81,203956
Anger Management,42.0,60.0,2003,106 min,Comedy,6.3,52,203863
American Reunion,45.0,63.0,2012,113 min,Comedy,6.7,49,203769
The Purge,39.0,36.0,2013,85 min,"Horror, Sci-Fi, Thriller",5.7,41,203646
Ace Ventura: When Nature Calls,25.0,72.0,1995,90 min,"Adventure, Comedy, Crime",6.4,45,203287
Hidden Figures,93.0,93.0,2016,127 min,"Biography, Drama, History",7.8,74,202976
The Descent,86.0,76.0,2005,99 min,"Adventure, Horror, Thriller",7.2,71,202594
The Girl Next Door,56.0,69.0,2004,109 min,"Comedy, Drama, Romance",6.7,47,202539
The Girl Next Door,56.0,69.0,2007,91 min,"Crime, Drama, Horror",6.6,29,23788
The Impossible,81.0,84.0,2012,114 min,"Drama, History, Thriller",7.6,73,202454
Carlito's Way,81.0,91.0,1993,144 min,"Crime, Drama, Thriller",7.9,65,202204
Fantastic Mr. Fox,93.0,85.0,2009,87 min,"Animation, Adventure, Comedy",7.9,83,202059
Pain & Gain,50.0,47.0,2013,129 min,"Action, Comedy, Crime",6.4,45,201814
Teenage Mutant Ninja Turtles,21.0,50.0,2014,101 min,"Action, Adventure, Comedy",5.8,31,201574
Teenage Mutant Ninja Turtles,21.0,50.0,1990,93 min,"Action, Adventure, Comedy",6.8,51,85796
Teenage Mutant Ninja Turtles,40.0,81.0,2014,101 min,"Action, Adventure, Comedy",5.8,31,201574
Teenage Mutant Ninja Turtles,40.0,81.0,1990,93 min,"Action, Adventure, Comedy",6.8,51,85796
Ad Astra,83.0,40.0,2019,123 min,"Adventure, Drama, Mystery",6.5,80,201545
Big Daddy,39.0,74.0,1999,93 min,"Comedy, Drama",6.4,41,201007
Blade II,57.0,68.0,2002,117 min,"Action, Fantasy, Horror",6.7,52,200913
P.S. I Love You,25.0,80.0,2007,126 min,"Comedy, Drama, Romance",7.0,39,200730
Rush Hour 2,52.0,74.0,2001,90 min,"Action, Comedy, Crime",6.6,48,200704
A Walk to Remember,27.0,78.0,2002,101 min,"Drama, Romance",7.4,35,200256
G.I. Joe: The Rise of Cobra,34.0,50.0,2009,118 min,"Action, Adventure, Sci-Fi",5.8,32,199549
Oz the Great and Powerful,57.0,56.0,2013,130 min,"Adventure, Family, Fantasy",6.3,44,199528
Finding Neverland,83.0,87.0,2004,106 min,"Biography, Drama, Family",7.6,67,199321
Remember the Titans,73.0,93.0,2000,113 min,"Biography, Drama, Sport",7.8,48,199243
Coraline,90.0,73.0,2009,100 min,"Animation, Drama, Family",7.7,80,199032
Napoleon Dynamite,72.0,74.0,2004,96 min,Comedy,6.9,64,198928
A Good Day to Die Hard,14.0,40.0,2013,98 min,"Action, Thriller",5.3,28,198917
Ghost,74.0,80.0,1990,127 min,"Drama, Fantasy, Romance",7.1,52,198909
Happy Gilmore,62.0,85.0,1996,92 min,"Comedy, Sport",7.0,31,198900
Lara Croft: Tomb Raider,20.0,47.0,2001,100 min,"Action, Adventure, Fantasy",5.8,33,198565
Everest,72.0,68.0,2015,121 min,"Action, Adventure, Biography",7.1,64,198472
Revolutionary Road,67.0,71.0,2008,119 min,"Drama, Romance",7.3,69,198462
The Babadook,98.0,72.0,2014,94 min,"Drama, Horror, Mystery",6.8,86,198446
Death Race,42.0,60.0,2008,105 min,"Action, Sci-Fi, Thriller",6.4,43,198431
Chef,87.0,85.0,2014,114 min,"Adventure, Comedy, Drama",7.3,68,198066
2 Guns,65.0,66.0,2013,109 min,"Action, Crime, Thriller",6.7,55,198036
Ghost in the Shell,43.0,51.0,2017,107 min,"Action, Crime, Drama",6.3,52,197523
A Series of Unfortunate Events,72.0,63.0,2004,108 min,"Adventure, Comedy, Family",6.8,62,196999
You've Got Mail,70.0,73.0,1998,119 min,"Comedy, Drama, Romance",6.7,57,196659
Traffic,92.0,85.0,2000,147 min,"Crime, Drama, Thriller",7.6,86,196539
EuroTrip,47.0,75.0,2004,92 min,Comedy,6.6,45,196486
Austin Powers in Goldmember,53.0,44.0,2002,94 min,"Action, Adventure, Comedy",6.2,62,196385
The Happening,17.0,24.0,2008,91 min,"Drama, Mystery, Sci-Fi",5.0,34,196353
Soul,95.0,88.0,2020,100 min,"Animation, Adventure, Comedy",8.1,83,195809
The Chronicles of Narnia: Prince Caspian,66.0,73.0,2008,150 min,"Action, Adventure, Family",6.5,62,195496
Hansel & Gretel: Witch Hunters,16.0,53.0,2013,88 min,"Action, Fantasy, Horror",6.1,23,195443
American Wedding,54.0,63.0,2003,96 min,Comedy,6.3,43,195378
The Croods,72.0,77.0,2013,98 min,"Animation, Adventure, Comedy",7.2,55,194557
"I Love You, Man",83.0,74.0,2009,105 min,"Comedy, Romance",7.0,70,194522
Bram Stoker's Dracula,74.0,79.0,1992,128 min,Horror,7.4,57,193990
Bad Teacher,45.0,36.0,2011,92 min,"Comedy, Romance",5.6,47,193892
King Arthur: Legend of the Sword,30.0,69.0,2017,126 min,"Action, Adventure, Drama",6.7,41,193494
Mother!,,60.0,2017,121 min,"Drama, Horror, Mystery",6.6,75,193141
Ice Age: Continental Drift,37.0,62.0,2012,88 min,"Animation, Adventure, Comedy",6.5,49,193061
Orphan,56.0,63.0,2009,123 min,"Horror, Mystery, Thriller",7.0,42,192707
Blue Jasmine,90.0,77.0,2013,98 min,Drama,7.3,78,192703
"South Park: Bigger, Longer & Uncut",80.0,88.0,1999,81 min,"Animation, Comedy, Fantasy",7.7,73,192672
What Women Want,54.0,54.0,2000,127 min,"Comedy, Fantasy, Romance",6.4,47,192512
After Earth,11.0,36.0,2013,100 min,"Action, Adventure, Sci-Fi",4.8,33,192281
Transporter 2,52.0,58.0,2005,87 min,"Action, Crime, Thriller",6.3,56,192159
Tomb Raider,52.0,55.0,2018,119 min,"Action, Adventure, Fantasy",6.3,48,192095
The Boy in the Striped Pyjamas,64.0,85.0,2008,94 min,"Drama, History, War",7.8,55,192064
Captain Fantastic,82.0,85.0,2016,118 min,"Comedy, Drama",7.9,72,192039
Jumanji: The Next Level,71.0,87.0,2019,123 min,"Action, Adventure, Comedy",6.6,58,192017
You Don't Mess with the Zohan,37.0,45.0,2008,113 min,Comedy,5.5,54,191683
Bolt,89.0,74.0,2008,96 min,"Animation, Adventure, Comedy",6.8,67,191367
Primal Fear,76.0,89.0,1996,129 min,"Crime, Drama, Mystery",7.7,47,191221
Hanna,71.0,66.0,2011,111 min,"Action, Adventure, Drama",6.8,65,190860
Machete,72.0,63.0,2010,105 min,"Action, Crime, Thriller",6.6,60,190596
Underworld: Evolution,17.0,72.0,2006,106 min,"Action, Fantasy, Thriller",6.7,36,190402
The Internship,35.0,51.0,2013,119 min,Comedy,6.3,42,190335
Ocean's Eight,69.0,45.0,2018,110 min,"Action, Comedy, Crime",6.8,61,189950
Project X,28.0,61.0,2012,88 min,Comedy,6.6,48,189489
Miss Congeniality,41.0,69.0,2000,109 min,"Action, Comedy, Crime",6.3,43,189196
The World Is Not Enough,52.0,49.0,1999,128 min,"Action, Adventure, Crime",6.4,57,189182
Lola rennt,93.0,90.0,1998,81 min,"Crime, Drama, Thriller",7.6,77,188962
Drag Me to Hell,92.0,62.0,2009,99 min,Horror,6.5,83,188653
Tinker Tailor Soldier Spy,83.0,65.0,2011,122 min,"Drama, Mystery, Thriller",7.1,85,188611
The Hitman's Bodyguard,43.0,67.0,2017,118 min,"Action, Comedy, Crime",6.9,47,188607
Dark City,76.0,85.0,1998,100 min,"Mystery, Sci-Fi, Thriller",7.6,66,188603
Fracture,71.0,73.0,2007,113 min,"Crime, Drama, Thriller",7.2,68,188559
Sleepers,73.0,85.0,1996,147 min,"Crime, Drama, Thriller",7.6,49,187676
Legally Blonde,70.0,72.0,2001,96 min,"Comedy, Romance",6.3,59,187266
The Hitchhiker's Guide to the Galaxy,60.0,65.0,2005,109 min,"Adventure, Comedy, Sci-Fi",6.8,63,187200
The Taking of Pelham 123,51.0,52.0,2009,106 min,"Action, Crime, Thriller",6.4,55,187048
El Camino: A Breaking Bad Movie,91.0,81.0,2019,122 min,"Action, Crime, Drama",7.3,72,187045
Assassin's Creed,18.0,43.0,2016,115 min,"Action, Adventure, Sci-Fi",5.7,36,186942
Resident Evil: Apocalypse,20.0,60.0,2004,94 min,"Action, Horror, Sci-Fi",6.2,35,186939
Ted 2,44.0,50.0,2015,115 min,Comedy,6.3,48,186720
The Magnificent Seven,64.0,72.0,2016,132 min,"Action, Adventure, Western",6.9,54,186275
Clueless,82.0,76.0,1995,97 min,"Comedy, Romance",6.8,68,186130
Misery,90.0,90.0,1990,107 min,"Drama, Thriller",7.8,75,186110
Shrek Forever After,58.0,54.0,2010,93 min,"Animation, Adventure, Comedy",6.3,58,186053
Unstoppable,87.0,72.0,2010,98 min,"Action, Thriller",6.8,69,185783
AVP: Alien vs. Predator,20.0,39.0,2004,101 min,"Action, Adventure, Horror",5.6,29,185676
The Next Three Days,50.0,66.0,2010,133 min,"Action, Crime, Drama",7.3,52,185635
Blue Valentine,86.0,77.0,2010,112 min,"Drama, Romance",7.4,81,185526
The Vow,31.0,63.0,2012,104 min,"Drama, Romance",6.8,43,184733
"I, Tonya",90.0,88.0,2017,119 min,"Biography, Comedy, Drama",7.5,77,184585
Shame,79.0,75.0,2011,101 min,Drama,7.2,72,184511
Resident Evil: Extinction,24.0,58.0,2007,94 min,"Action, Horror, Sci-Fi",6.3,41,184154
The Secret Life of Pets,72.0,62.0,2016,87 min,"Animation, Adventure, Comedy",6.5,61,184033
The Talented Mr. Ripley,84.0,80.0,1999,139 min,"Crime, Drama, Thriller",7.4,76,183359
Secret Window,46.0,65.0,2004,96 min,"Drama, Mystery, Thriller",6.6,46,183197
Harold & Kumar Go to White Castle,74.0,80.0,2004,88 min,"Adventure, Comedy",7.1,64,182548
Love & Other Drugs,49.0,53.0,2010,112 min,"Comedy, Drama, Romance",6.7,55,182248
17 Again,56.0,67.0,2009,102 min,"Comedy, Drama, Fantasy",6.4,48,182239
Tomorrow Never Dies,57.0,53.0,1997,119 min,"Action, Adventure, Thriller",6.5,52,182215
Wrath of the Titans,26.0,49.0,2012,99 min,"Action, Adventure, Fantasy",5.7,37,182008
Keizer Kuzco,85.0,83.0,2000,78 min,"Animation, Adventure, Comedy",7.4,70,181902
The Darjeeling Limited,69.0,78.0,2007,91 min,"Adventure, Comedy, Drama",7.2,67,181751
War Dogs,61.0,69.0,2016,114 min,"Biography, Comedy, Crime",7.1,57,181645
The Hunt for Red October,89.0,88.0,1990,135 min,"Action, Adventure, Thriller",7.6,58,181606
The Polar Express,56.0,63.0,2004,100 min,"Animation, Adventure, Comedy",6.6,61,181513
Waterworld,46.0,43.0,1995,135 min,"Action, Adventure, Sci-Fi",6.3,56,181333
The Life Aquatic with Steve Zissou,56.0,82.0,2004,119 min,"Action, Adventure, Comedy",7.3,62,181252
Knight and Day,52.0,49.0,2010,109 min,"Action, Adventure, Comedy",6.3,46,181128
Air Force One,78.0,66.0,1997,124 min,"Action, Drama, Thriller",6.5,61,181055
Dracula Untold,25.0,58.0,2014,92 min,"Action, Drama, Fantasy",6.3,40,180923
Side Effects,81.0,70.0,2013,106 min,"Crime, Drama, Mystery",7.1,75,180754
Side Effects,81.0,70.0,2005,90 min,"Comedy, Drama, Romance",4.9,46,1057
Side Effects,11.0,30.0,2013,106 min,"Crime, Drama, Mystery",7.1,75,180754
Side Effects,11.0,30.0,2005,90 min,"Comedy, Drama, Romance",4.9,46,1057
Straight Outta Compton,89.0,86.0,2015,147 min,"Biography, Drama, History",7.8,72,180204
Sideways,97.0,79.0,2004,127 min,"Comedy, Drama, Romance",7.5,94,180158
Cruel Intentions,55.0,81.0,1999,97 min,"Drama, Romance",6.8,56,180054
Taken 3,12.0,44.0,2014,108 min,"Action, Thriller",6.0,26,179999
The Judge,49.0,72.0,2014,141 min,"Crime, Drama",7.4,48,179929
The Golden Compass,42.0,51.0,2007,113 min,"Adventure, Family, Fantasy",6.1,51,179911
Basic Instinct,54.0,63.0,1992,127 min,"Drama, Mystery, Thriller",7.0,41,179856
Jupiter Ascending,27.0,38.0,2015,127 min,"Action, Adventure, Sci-Fi",5.3,40,179728
The English Patient,85.0,83.0,1996,162 min,"Drama, Romance, War",7.4,87,179677
Adaptation.,91.0,85.0,2002,115 min,"Comedy, Drama",7.7,83,179530
Robin Hood: Prince of Thieves,51.0,72.0,1991,143 min,"Action, Adventure, Drama",6.9,51,179240
Saw III,28.0,71.0,2006,108 min,"Crime, Horror, Mystery",6.2,48,179094
Night at the Museum: Battle of the Smithsonian,44.0,47.0,2009,105 min,"Adventure, Comedy, Family",6.0,42,178659
Chocolat,62.0,83.0,2000,121 min,"Drama, Romance",7.2,64,178519
Grindhouse,84.0,87.0,2007,191 min,"Action, Horror, Thriller",7.5,77,178350
A Million Ways to Die in the West,33.0,41.0,2014,116 min,"Comedy, Western",6.1,44,178124
Percy Jackson & the Lightning Thief,49.0,53.0,2010,118 min,"Adventure, Family, Fantasy",5.9,47,177929
Chicken Run,97.0,65.0,2000,84 min,"Animation, Adventure, Comedy",7.0,88,177906
Twister,59.0,58.0,1996,113 min,"Action, Adventure, Thriller",6.4,68,177818
Enchanted,93.0,80.0,2007,107 min,"Animation, Comedy, Family",7.0,75,177632
Atomic Blonde,78.0,64.0,2017,115 min,"Action, Thriller",6.7,63,177318
Sausage Party,82.0,50.0,2016,89 min,"Animation, Adventure, Comedy",6.1,66,177070
Cinderella Man,80.0,91.0,2005,144 min,"Biography, Drama, History",8.0,69,176963
Charlie's Angels,68.0,45.0,2000,98 min,"Action, Adventure, Comedy",5.5,52,176913
Charlie's Angels,68.0,45.0,2019,118 min,"Action, Adventure, Comedy",4.8,52,58366
Charlie's Angels,52.0,78.0,2000,98 min,"Action, Adventure, Comedy",5.5,52,176913
Charlie's Angels,52.0,78.0,2019,118 min,"Action, Adventure, Comedy",4.8,52,58366
Eagle Eye,26.0,62.0,2008,118 min,"Action, Mystery, Thriller",6.6,43,176727
This Means War,26.0,56.0,2012,103 min,"Action, Comedy, Romance",6.3,31,176644
Swordfish,25.0,59.0,2001,99 min,"Action, Crime, Thriller",6.5,32,176608
Jarhead,61.0,68.0,2005,125 min,"Action, Biography, Drama",7.0,58,176238
The Last King of Scotland,87.0,89.0,2006,123 min,"Biography, Drama, History",7.7,74,176198
Erin Brockovich,84.0,81.0,2000,131 min,"Biography, Drama",7.4,73,176197
Stargate,53.0,73.0,1994,116 min,"Action, Adventure, Sci-Fi",7.1,42,175993
K-PAX,42.0,75.0,2001,120 min,"Drama, Mystery, Sci-Fi",7.4,49,175568
Cape Fear,75.0,77.0,1991,128 min,"Crime, Thriller",7.3,73,175523
World Invasion: Battle Los Angeles,36.0,48.0,2011,116 min,"Action, Sci-Fi",5.7,37,174785
The Woman in Black,67.0,54.0,2012,95 min,"Drama, Fantasy, Horror",6.4,62,174746
The Favourite,93.0,69.0,2018,119 min,"Biography, Comedy, Drama",7.5,91,174699
Darkest Hour,84.0,82.0,2017,125 min,"Biography, Drama, History",7.4,75,174014
The Bank Job,80.0,74.0,2008,111 min,"Crime, Drama, Thriller",7.2,69,173861
The Thin Red Line,80.0,80.0,1998,170 min,"Drama, War",7.6,78,173771
xXx,48.0,58.0,2002,124 min,"Action, Adventure, Thriller",5.9,48,173581
About a Boy,93.0,55.0,2002,101 min,"Comedy, Drama, Romance",7.0,75,173536
G.I. Joe: Retaliation,28.0,48.0,2013,110 min,"Action, Adventure, Sci-Fi",5.8,41,173506
The Promise,51.0,92.0,2016,133 min,"Action, Adventure, Drama",6.5,49,173082
De IJzeren reus,,,1999,86 min,"Animation, Action, Adventure",8.0,85,173081
Ronin,68.0,80.0,1998,122 min,"Action, Crime, Thriller",7.3,67,173060
Project T,,,2015,130 min,"Action, Adventure, Family",6.4,60,172950
Falling Down,73.0,84.0,1993,113 min,"Crime, Drama, Thriller",7.6,56,172936
A Knight's Tale,59.0,79.0,2001,132 min,"Action, Adventure, Romance",6.9,56,172714
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,78.0,78.0,2020,109 min,"Action, Adventure, Comedy",6.1,60,172425
Zack and Miri Make a Porno,65.0,66.0,2008,101 min,"Comedy, Romance",6.5,56,172298
Desperado,64.0,79.0,1995,104 min,"Action, Crime, Thriller",7.2,55,172180
The Invisible Man,91.0,88.0,2020,124 min,"Drama, Horror, Mystery",7.1,72,171951
Pocahontas,55.0,64.0,1995,81 min,"Animation, Adventure, Drama",6.7,58,171758
Happy Feet,76.0,70.0,2006,108 min,"Animation, Adventure, Comedy",6.4,77,170953
The Girl on the Train,44.0,48.0,2016,112 min,"Crime, Drama, Mystery",6.5,48,170844
First Man,87.0,67.0,2018,141 min,"Biography, Drama, History",7.3,84,170797
Pi,88.0,85.0,1998,84 min,"Drama, Horror, Mystery",7.4,72,170603
Hostel,61.0,53.0,2005,94 min,Horror,5.9,55,170377
Rushmore,89.0,91.0,1998,93 min,"Comedy, Drama, Romance",7.7,86,170352
The Assassination of Jesse James by the Coward Robert Ford,76.0,75.0,2007,160 min,"Biography, Crime, Drama",7.5,68,170259
Get Him to the Greek,72.0,62.0,2010,109 min,"Adventure, Comedy, Music",6.4,65,170258
25th Hour,78.0,85.0,2002,135 min,Drama,7.6,68,170237
The Expendables 3,32.0,49.0,2014,126 min,"Action, Adventure, Thriller",6.1,35,170220
Enemy,71.0,63.0,2013,91 min,"Drama, Mystery, Thriller",6.9,61,170092
Bright,28.0,83.0,2017,117 min,"Action, Fantasy, Thriller",6.3,29,170083
The Mask of Zorro,82.0,73.0,1998,136 min,"Action, Adventure, Comedy",6.7,63,169904
Lilo & Stitch,86.0,77.0,2002,85 min,"Animation, Adventure, Comedy",7.2,73,169819
Anchorman 2: The Legend Continues,75.0,52.0,2013,119 min,Comedy,6.3,61,169741
Fast & Furious Presents: Hobbs & Shaw,67.0,88.0,2019,137 min,"Action, Adventure, Thriller",6.4,60,169502
Mud,,,2012,130 min,Drama,7.4,76,169438
Mama,63.0,55.0,2013,100 min,"Horror, Thriller",6.2,57,169318
Melancholia,80.0,67.0,2011,135 min,"Drama, Sci-Fi",7.2,80,169244
Surrogates,37.0,38.0,2009,89 min,"Action, Sci-Fi, Thriller",6.3,45,169219
High Fidelity,91.0,90.0,2000,113 min,"Comedy, Drama, Music",7.5,79,169125
Black Mass,73.0,68.0,2015,123 min,"Biography, Crime, Drama",6.9,68,168812
13 Going on 30,65.0,70.0,2004,98 min,"Comedy, Fantasy, Romance",6.2,57,168702
The League of Extraordinary Gentlemen,17.0,44.0,2003,110 min,"Action, Adventure, Fantasy",5.8,30,168691
The Ninth Gate,44.0,57.0,1999,133 min,"Mystery, Thriller",6.7,44,168593
The Tree of Life,84.0,60.0,2011,139 min,"Drama, Fantasy",6.8,85,168533
Talladega Nights: The Ballad of Ricky Bobby,71.0,73.0,2006,108 min,"Comedy, Sport",6.6,66,168507
The Change-Up,25.0,47.0,2011,112 min,"Comedy, Fantasy",6.3,39,168493
Red Sparrow,45.0,49.0,2018,140 min,"Action, Drama, Thriller",6.6,53,168065
Shark Tale,36.0,43.0,2004,90 min,"Animation, Adventure, Comedy",6.0,48,167908
Independence Day: Resurgence,30.0,30.0,2016,120 min,"Action, Adventure, Sci-Fi",5.2,32,167677
Wonder Woman 1984,59.0,74.0,2020,151 min,"Action, Adventure, Fantasy",5.4,60,167611
The Crow,83.0,90.0,1994,102 min,"Action, Drama, Fantasy",7.6,71,167298
Layer Cake,80.0,85.0,2004,105 min,"Action, Crime, Drama",7.3,73,167200
Dazed and Confused,92.0,90.0,1993,102 min,Comedy,7.6,78,167006
Blade: Trinity,25.0,59.0,2004,113 min,"Action, Adventure, Fantasy",5.9,38,166683
Tucker and Dale vs Evil,85.0,84.0,2010,89 min,"Comedy, Horror",7.5,65,165981
What Happens in Vegas,26.0,65.0,2008,99 min,"Comedy, Romance",6.1,36,165687
"Girl, Interrupted",53.0,84.0,1999,127 min,"Biography, Drama",7.3,51,165589
